DOMAIN,province,user_type,os,cdn_server,normal,abnormal
a0,*,*,*,*,4058.0,1048.0
a1,*,*,*,*,270.0,78.0
a10,*,*,*,*,379.0,101.0
a11,*,*,*,*,480.0,153.0
a12,*,*,*,*,7456.0,1895.0
a13,*,*,*,*,338.0,85.0
a14,*,*,*,*,592.0,155.0
a15,*,*,*,*,2797.0,683.0
a16,*,*,*,*,6367.0,1607.0
a17,*,*,*,*,1553.0,385.0
a18,*,*,*,*,341.0,76.0
a19,*,*,*,*,17.0,1.0
a2,*,*,*,*,9.0,3.0
a20,*,*,*,*,1888.0,503.0
a21,*,*,*,*,25250.0,7033.0
a22,*,*,*,*,624.0,141.0
a23,*,*,*,*,102.0,30.0
a24,*,*,*,*,353.0,79.0
a25,*,*,*,*,799.0,227.0
a26,*,*,*,*,3.0,3.0
a27,*,*,*,*,736.0,185.0
a28,*,*,*,*,362.0,91.0
a29,*,*,*,*,585.0,168.0
a3,*,*,*,*,3949.0,1028.0
a30,*,*,*,*,411.0,108.0
a31,*,*,*,*,442.0,104.0
a32,*,*,*,*,496.0,143.0
a33,*,*,*,*,433.0,110.0
a34,*,*,*,*,473.0,115.0
a35,*,*,*,*,425.0,109.0
a36,*,*,*,*,446.0,112.0
a37,*,*,*,*,263.0,52.0
a38,*,*,*,*,504.0,132.0
a39,*,*,*,*,417.0,99.0
a4,*,*,*,*,3851.0,1012.0
a40,*,*,*,*,558.0,153.0
a41,*,*,*,*,684.0,150.0
a42,*,*,*,*,459.0,93.0
a43,*,*,*,*,555.0,132.0
a44,*,*,*,*,621.0,147.0
a45,*,*,*,*,30.0,6.0
a46,*,*,*,*,330.0,81.0
a47,*,*,*,*,492.0,120.0
a5,*,*,*,*,1007.0,229.0
a6,*,*,*,*,659.0,178.0
a7,*,*,*,*,338.0,85.0
a8,*,*,*,*,1886.0,496.0
a9,*,*,*,*,511.0,119.0
*,b0,*,*,*,15155.0,3942.0
*,b1,*,*,*,1212.0,318.0
*,b10,*,*,*,249.0,57.0
*,b11,*,*,*,740.0,181.0
*,b12,*,*,*,1316.0,346.0
*,b13,*,*,*,264.0,69.0
*,b14,*,*,*,3047.0,810.0
*,b15,*,*,*,739.0,179.0
*,b16,*,*,*,1345.0,296.0
*,b17,*,*,*,3710.0,949.0
*,b18,*,*,*,6505.0,1775.0
*,b19,*,*,*,459.0,135.0
*,b2,*,*,*,252.0,78.0
*,b20,*,*,*,693.0,165.0
*,b21,*,*,*,265.0,65.0
*,b22,*,*,*,231.0,60.0
*,b23,*,*,*,1032.0,309.0
*,b24,*,*,*,425.0,115.0
*,b25,*,*,*,1919.0,553.0
*,b26,*,*,*,66.0,18.0
*,b27,*,*,*,451.0,113.0
*,b28,*,*,*,166.0,50.0
*,b3,*,*,*,1490.0,367.0
*,b4,*,*,*,758.0,214.0
*,b5,*,*,*,567.0,147.0
*,b6,*,*,*,928.0,266.0
*,b7,*,*,*,6.0,3.0
*,b8,*,*,*,1555.0,368.0
*,b9,*,*,*,30054.0,7895.0
*,*,c0,*,*,17045.0,4233.0
*,*,c1,*,*,16908.0,4304.0
*,*,c2,*,*,7537.0,1883.0
*,*,c3,*,*,12391.0,3118.0
*,*,c4,*,*,9118.0,3102.0
*,*,c5,*,*,12600.0,3203.0
*,*,*,d0,*,19249.0,4757.0
*,*,*,d1,*,17806.0,4487.0
*,*,*,d2,*,11129.0,2827.0
*,*,*,d3,*,17464.0,4400.0
*,*,*,d4,*,9951.0,3372.0
*,*,*,*,e0,397.0,119.0
*,*,*,*,e1,410.0,124.0
*,*,*,*,e10,424.0,107.0
*,*,*,*,e100,112.0,26.0
*,*,*,*,e101,190.0,59.0
*,*,*,*,e102,184.0,59.0
*,*,*,*,e103,203.0,46.0
*,*,*,*,e104,210.0,66.0
*,*,*,*,e105,187.0,41.0
*,*,*,*,e106,202.0,47.0
*,*,*,*,e107,211.0,59.0
*,*,*,*,e108,171.0,51.0
*,*,*,*,e109,197.0,43.0
*,*,*,*,e11,423.0,138.0
*,*,*,*,e110,192.0,45.0
*,*,*,*,e111,209.0,46.0
*,*,*,*,e112,177.0,57.0
*,*,*,*,e113,199.0,44.0
*,*,*,*,e114,208.0,53.0
*,*,*,*,e115,212.0,46.0
*,*,*,*,e116,210.0,42.0
*,*,*,*,e117,203.0,55.0
*,*,*,*,e118,198.0,51.0
*,*,*,*,e119,179.0,55.0
*,*,*,*,e12,417.0,117.0
*,*,*,*,e120,8.0,0.0
*,*,*,*,e121,6.0,2.0
*,*,*,*,e122,7.0,1.0
*,*,*,*,e123,7.0,1.0
*,*,*,*,e124,6.0,2.0
*,*,*,*,e125,5.0,3.0
*,*,*,*,e126,221.0,46.0
*,*,*,*,e127,198.0,48.0
*,*,*,*,e128,403.0,113.0
*,*,*,*,e129,440.0,97.0
*,*,*,*,e13,424.0,104.0
*,*,*,*,e130,447.0,123.0
*,*,*,*,e131,442.0,95.0
*,*,*,*,e132,428.0,131.0
*,*,*,*,e133,415.0,96.0
*,*,*,*,e134,430.0,108.0
*,*,*,*,e135,460.0,110.0
*,*,*,*,e136,447.0,106.0
*,*,*,*,e137,422.0,104.0
*,*,*,*,e138,429.0,104.0
*,*,*,*,e139,415.0,104.0
*,*,*,*,e14,423.0,111.0
*,*,*,*,e140,433.0,105.0
*,*,*,*,e141,419.0,116.0
*,*,*,*,e142,408.0,106.0
*,*,*,*,e143,613.0,159.0
*,*,*,*,e144,62.0,25.0
*,*,*,*,e145,73.0,14.0
*,*,*,*,e146,69.0,18.0
*,*,*,*,e147,62.0,16.0
*,*,*,*,e148,65.0,13.0
*,*,*,*,e149,57.0,21.0
*,*,*,*,e15,429.0,129.0
*,*,*,*,e150,65.0,16.0
